E	sigma_pp	a_pp	beta_pp		sigma_pn	a_pn	beta_pn
(MeV)	(fm^2)			(fm^2)		(fm^2)			(fm^2)
40	7.0 		1.328 	0.385 		21.8 		0.493 	0.539
60 	4.7 		1.626 	0.341 		13.6 		0.719 	0.410
80 	3.69 		1.783 	0.307 		9.89 		0.864 	0.344
100 	3.16 		1.808 	0.268 		7.87 		0.933 	0.293
120 	2.85 		1.754 	0.231 		6.63 		0.94 	0.248
140 	2.65 		1.644 	0.195 		5.82 		0.902 	0.210
160 	2.52 		1.509 	0.164 		5.26 		0.856 	0.181
180 	2.43 		1.365 	0.138 		4.85 		0.77 	0.154
200 	2.36 		1.221 	0.117 		4.54 		0.701 	0.135
240 	2.28 		0.944 	0.086 		4.13 		0.541 	0.106
300 	2.42 		0.626 	0.067 		3.7 		0.326 	0.081
425 	2.7 		0.47 	0.078 		3.32 		0.25 	0.0702
550 	3.44 		0.32 	0.11 		3.5 		-0.24 	0.0859
650 	4.13 		0.16 	0.148 		3.74 		-0.35 	0.112
700 	4.43 		0.1 	0.16 		3.77 		-0.38 	0.12
800 	4.59 		0.06 	0.185 		3.88 		-0.2 	0.12
1000 	4.63 		-0.09 	0.193 		3.88 		-0.46 	0.151
