#PhysRevC.75.044607
#E(A MeV)     σ_tot_NN(fm2)    α        β(fm2)
30.           19.6             0.87     0.685
38.           14.6             0.89     0.521
40.           13.5             0.9      0.486
49.           10.4             0.94     0.390
85.            6.1             1.37     0.349
94.            5.5             1.409    0.327
100.           5.295           1.435    0.322
120.           4.5             1.359    0.255
150.           3.845           1.245    0.195
200.           3.45            0.953    0.131
325.           3.03            0.305    0.075
425.           3.03            0.36     0.078
550.           3.62            0.04     0.125
650.           4.0            -0.095    0.16
800.           4.26           -0.07     0.21
1000.          4.32           -0.275    0.21
